TimeStep,k1,k2,k3
1,52,,
2,52,,
3,52,,
4,55,,
5,54,,
6,56,,
7,60,,
8,63,,
9,67,,
10,70,,
11,74,,
12,78,,
13,82,,
14,87,,
15,92,,
16,98,,
17,103,,
18,110,,
19,115,,
20,121,,
21,125,,
22,130,,
23,134,,
24,137,,
25,140,,
26,143,,
27,146,306,313
28,148,,
29,151,350,
30,153,,
31,155,,
32,158,,
33,160,,
34,163,,
35,165,,
36,168,,
37,171,,
38,174,,
39,39,47,177
40,35,56,181
41,34,63,184
42,33,69,188
43,33,76,192
44,33,83,197
45,33,90,201
46,33,96,206
47,32,103,211
48,32,110,216
49,32,117,221
50,32,124,226
51,32,132,231
52,33,139,237
53,34,147,242
54,36,154,248
55,37,162,254
56,39,169,260
57,41,176,266
58,42,184,272
59,43,191,278
60,44,198,285
61,45,205,291
62,46,212,298
63,47,220,304
64,48,227,311
65,48,233,318
66,49,240,324
67,49,248,331
68,49,254,338
69,50,260,344
70,50,267,350
71,50,274,354
72,50,280,355
73,51,287,356
74,51,293,357
75,51,300,358
76,51,306,360
77,51,312,
78,51,318,
79,51,324,
80,51,329,
81,51,333,
82,52,335,
83,51,336,
84,52,336,
85,52,336,
86,52,336,
87,52,336,
88,52,336,
89,52,335,
90,52,335,
91,52,335,
92,51,334,
93,51,334,
94,51,334,
95,51,333,
96,51,333,
97,51,333,
98,51,333,
99,51,333,
100,51,333,
101,51,333,
102,51,333,
103,51,333,
104,51,333,
105,51,333,
106,51,333,
107,51,333,
108,51,333,
109,51,333,
110,51,333,
111,51,333,
112,51,332,
113,51,332,
114,51,332,
115,51,331,
116,51,331,
117,51,330,
118,52,330,
119,52,329,
120,52,329,
121,52,328,
122,52,327,
123,52,327,
124,52,326,
125,52,325,
126,52,325,
127,52,324,
128,52,323,
129,52,322,
130,52,321,
131,52,321,
132,52,320,
133,52,319,
134,52,318,
135,51,317,
136,51,316,
137,51,315,
138,51,314,
139,51,313,
140,51,312,
141,51,311,
142,51,310,
143,51,309,
144,51,308,
145,51,307,
146,51,306,
147,51,305,
148,51,304,
149,51,303,
150,51,302,
151,51,301,
152,51,299,
153,51,298,
154,51,297,
155,51,296,
156,51,295,
157,51,294,
158,51,293,
159,51,292,
