# TimeStep	k	Value
1	52	2.296078e-04
2	52	1.911971e-04
3	52	7.856333e-05
4	55	2.618314e-05
5	54	4.351020e-04
6	56	1.553359e-03
7	60	1.817966e-03
8	63	1.281065e-03
9	67	2.829070e-03
10	70	1.029512e-03
11	74	1.925625e-03
12	78	1.965156e-03
13	82	7.781810e-04
14	87	2.220396e-03
15	92	1.992596e-03
16	98	3.549709e-03
17	103	3.103929e-04
18	110	3.161555e-03
19	115	6.142781e-04
20	121	2.452938e-03
21	125	3.309272e-04
22	130	7.496226e-04
23	134	1.467183e-03
24	137	6.202434e-04
25	140	2.774607e-04
26	143	1.984610e-04
27	146	5.158480e-04
28	148	8.027533e-05
29	151	5.274195e-04
30	153	1.488544e-04
31	155	6.484740e-05
32	158	5.068128e-04
33	160	1.848950e-04
34	163	5.240974e-04
35	165	2.175498e-04
36	168	3.992336e-04
37	171	4.266566e-04
38	174	4.580186e-04
39	39	1.314197e-04
40	35	2.392956e-04
41	34	5.781929e-04
42	33	2.891465e-04
43	33	7.867856e-04
44	33	9.469773e-04
45	33	9.743038e-04
46	33	9.042557e-04
47	32	7.518784e-05
48	32	6.204617e-04
49	32	1.083400e-03
50	32	1.089841e-03
51	32	4.624707e-04
52	33	4.338519e-04
53	34	1.293977e-04
54	36	3.610102e-04
55	37	4.693328e-05
56	39	1.547143e-04
57	41	2.060034e-04
58	42	1.348044e-04
59	43	7.426215e-05
60	44	3.077885e-07
61	45	4.490505e-05
62	46	9.726504e-05
63	47	6.633369e-05
64	48	1.125341e-04
65	48	8.568325e-05
66	49	1.272691e-04
67	49	5.951957e-05
68	49	2.937785e-05
69	50	1.186295e-04
70	50	8.097881e-05
71	50	5.340156e-05
72	50	2.864865e-05
73	51	1.223772e-04
74	51	1.020763e-04
75	51	1.000792e-04
76	51	7.207276e-05
77	51	4.495281e-05
78	51	4.632375e-05
79	51	3.331689e-05
80	51	1.844504e-05
81	51	6.222237e-06
82	52	1.819867e-04
83	51	1.872404e-06
84	52	1.922751e-04
85	52	1.973544e-04
86	52	2.179249e-04
87	52	2.306287e-04
88	52	2.436355e-04
89	52	2.647526e-04
90	52	2.923678e-04
91	52	3.193940e-04
92	51	4.799864e-06
93	51	2.138619e-05
94	51	4.204818e-05
95	51	5.767301e-05
96	51	8.010346e-05
97	51	1.091026e-04
98	51	1.327821e-04
99	51	1.604154e-04
100	51	1.899884e-04
101	51	2.143535e-04
102	51	2.373356e-04
103	51	2.579983e-04
104	51	2.776225e-04
105	51	2.891425e-04
106	51	2.958996e-04
107	51	2.972102e-04
108	51	2.912253e-04
109	51	2.801707e-04
110	51	2.643408e-04
111	51	2.408720e-04
112	51	2.120677e-04
113	51	1.798090e-04
114	51	1.422531e-04
115	51	1.006292e-04
116	51	5.676647e-05
117	51	9.111797e-06
118	52	7.436265e-04
119	52	6.985274e-04
120	52	6.511382e-04
121	52	6.039182e-04
122	52	5.567463e-04
123	52	5.103602e-04
124	52	4.670561e-04
125	52	4.305117e-04
126	52	4.036979e-04
127	52	3.904499e-04
128	52	3.952473e-04
129	52	4.240075e-04
130	52	4.802695e-04
131	52	5.629652e-04
132	52	6.687412e-04
133	52	7.903064e-04
134	52	9.174707e-04
135	51	9.232183e-05
136	51	1.837379e-04
137	51	2.604939e-04
138	51	3.213051e-04
139	51	3.669484e-04
140	51	3.997729e-04
141	51	4.220964e-04
142	51	4.361636e-04
143	51	4.438980e-04
144	51	4.468143e-04
145	51	4.452900e-04
146	51	4.400717e-04
147	51	4.324480e-04
148	51	4.226955e-04
149	51	4.103470e-04
150	51	3.956061e-04
151	51	3.788297e-04
152	51	3.598368e-04
153	51	3.386335e-04
154	51	3.155191e-04
155	51	2.903957e-04
156	51	2.632806e-04
157	51	2.346328e-04
158	51	2.047271e-04
159	51	1.737997e-04
