# z	n(z)
0	-0.000000e+00
1	1.285123e-01
2	2.435988e-01
3	3.609342e-01
4	4.755743e-01
5	5.877129e-01
6	6.975738e-01
7	8.053909e-01
8	9.114044e-01
9	1.015860e+00
10	1.119005e+00
11	1.221094e+00
12	1.322379e+00
13	1.423120e+00
14	1.523579e+00
15	1.624028e+00
16	1.724742e+00
17	1.826012e+00
18	1.928140e+00
19	2.031448e+00
20	2.136278e+00
21	2.243001e+00
22	2.352022e+00
23	2.463788e+00
24	2.578793e+00
25	2.697597e+00
26	2.820833e+00
27	2.949223e+00
28	3.083605e+00
29	3.224953e+00
30	3.374413e+00
31	3.533346e+00
32	3.703383e+00
33	3.886499e+00
34	4.085115e+00
35	4.302227e+00
36	4.541602e+00
37	4.808035e+00
38	5.107739e+00
39	5.448907e+00
40	5.842576e+00
41	6.303984e+00
42	6.854782e+00
43	7.526807e+00
44	8.368887e+00
45	9.459916e+00
46	1.093622e+01
47	1.305549e+01
48	1.637044e+01
49	2.232049e+01
50	3.620059e+01
51	5.653590e+01
52	-4.672231e+01
53	-3.249001e+01
54	-1.880778e+01
55	-1.291505e+01
56	-9.626836e+00
57	-7.524500e+00
58	-6.061501e+00
59	-4.982526e+00
60	-4.152308e+00
61	-3.492491e+00
62	-2.954548e+00
63	-2.506816e+00
64	-2.127757e+00
65	-1.802207e+00
66	-1.519183e+00
67	-1.270532e+00
68	-1.050075e+00
69	-8.530409e-01
70	-6.756907e-01
71	-5.150491e-01
72	-3.687200e-01
73	-2.347514e-01
74	-1.115370e-01
75	2.257455e-03
76	1.077495e-01
77	2.058826e-01
78	2.974589e-01
79	3.831645e-01
80	4.635906e-01
81	5.392488e-01
82	6.105844e-01
83	6.779870e-01
84	7.417989e-01
85	8.023222e-01
86	8.598247e-01
87	9.145444e-01
88	9.666940e-01
89	1.016464e+00
90	1.064025e+00
91	1.109532e+00
92	1.153125e+00
93	1.194928e+00
94	1.235059e+00
95	1.273621e+00
96	1.310710e+00
97	1.346414e+00
98	1.380812e+00
99	1.413980e+00
100	1.445985e+00
101	1.476890e+00
102	1.506753e+00
103	1.535628e+00
104	1.563565e+00
105	1.590610e+00
106	1.616807e+00
107	1.642197e+00
108	1.666816e+00
109	1.690700e+00
110	1.713883e+00
111	1.736394e+00
112	1.758264e+00
113	1.779518e+00
114	1.800184e+00
115	1.820285e+00
116	1.839844e+00
117	1.858883e+00
118	1.877422e+00
119	1.895480e+00
120	1.913075e+00
121	1.930225e+00
122	1.946947e+00
123	1.963255e+00
124	1.979165e+00
125	1.994690e+00
126	2.009844e+00
127	2.024640e+00
128	2.039090e+00
129	2.053206e+00
130	2.066998e+00
131	2.080478e+00
132	2.093654e+00
133	2.106538e+00
134	2.119137e+00
135	2.131462e+00
136	2.143520e+00
